UrSEC Description,,,,,,,,,,
تشریح,جذبات,صنف,اداکار,اداکار  کاآئی ڈی نمبر,نمونہ کی شکل,نمونہ کی شرح,فارمیٹ,دورانیہ سیکنڈز میں ,فائل کا نام,سیریل نمبر
مجھے منظور ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_1_12,12
تو ساری زندگی جیل میں چکی پیستا رہتا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_13,13
بات کر رہا ہوں نا، مت بولو بیچ میں ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_14,14
جاؤ ملک زبیر کو بْلا کے لاؤ، جلدی جاؤ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_15,15
مرد کا بچا ہے میرا بیٹا ہے وہ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_16,16
جب منہ اٹھایا میری زمینوں میں گھس گئے جا کے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_17,17
مجھے کیا پتا ایسا کیوں کیا تم نے لیکن غلطی تمہاری ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_18,18
میری اجازت کے بغیر میری زمینوں میں گھسے اور میرے ہی بندوں کو پکڑ کے لے گئے تم,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_19,19
میرے ہی گھر میں مجھے اسلحہ دیکھا کر دھمکی دیتے ہو تم,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_20,20
چھوڑوں گا نہیں مرتسم خان کو,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_21,21
اس بار اسے جواب دینا پڑے گا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_22,22
کہ تمہارا بیٹا نیک پرہیزگار شرم اور حیا والا ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_23,23
جرات تو دیکھو اس کی ہمت دیکھو اس کی,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_1_24,24
جانتے ہو کہ میں کیا کر سکتا ہوں؟,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_1_25,25
سالے ڈر کے شہر میں کہیں بھاگ گئے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_26,26
میرے اعتماد کو سب سے زیادہ نقصان اس نے پہنچایا ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_27,27
ہمارے تعلقات اس بات کی اجازت نہیں دیتے ہیں,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_28,28
مت نام نہ لیا کرو اس کا میرے سامنے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_1_29,29
ورنہ میں ایسا فیصلہ کردوں گا تمہیں ہمیشہ کے لیے گھر چھوڑ جانا پڑے گا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_30,30
اگر اس سے کسی نے ملنے کی کوشش کی تو میرا اس سے رشتہ ختم ہو جائے گا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_31,31
سنا نہیں تم نے تم  کہیں نہیں جا رہی ہو مر گئی ہے گیتی اس گھر کے لیے  ہم سب کے لئے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_32,32
ہاں تو ثابت کر دیا نا اس نے کہ وہ جہاں ارا کی بیٹی ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_33,33
تو کیا کرتا جو وہ کرنے جا رہی تھی شاباشی دیتا اسے میں,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_34,34
اج میں تمہارا لحاظ بھی نہیں کروں گا جان سے مار دوں گا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_35,35
ے شرم بے حیا نکلی نہ  اس بد کردار جہاں کی بیٹی,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_1_36,36
۔اس طرح منہ اٹھا کر ہوٹل چلی گئی ہے کوئی جاننے والا دیکھ لیتا تو کیا کہتا کس سے ملنے ائی ہے یہ یہاں پہ,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_1_37,37
ائندہ میری اجازت کے بغیر گھر سے باہر قدم رکھا نہ تو مجھ سے برا کوئی نہیں ہوگا دفع ہو جاؤ یہاں سے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_1_38,38
تم نے کس حیثیت میں اجازت دی ہے اسے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_39,39
ہمارے خاندان کی لڑکیاں دوستوں سے ملنے ہوٹلوں میں نہیں جاتی کس سے اجازت لی تھی تم نے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_1_40,40
تمہاری تربیت نے نا اسے خود سر کر دیا ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_41,41
کوئی بچی بچی نہیں ہے وہ کوئی ادب لحاظ ہونا چاہیے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_42,42
بدتمیز ہو گئی ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_1_43,43
اور تو نے کون سا تھوڑی دیر میں جا کر سارا کورس حفظ کر لینا ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_44,44
اگر اپ لوگوں نے جو سزا دینی ہوگی وہ دے دیجئے گا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_45,45
دو دن ہو گئے ہیں میں نے تم سے کہا تھا تمام کمپنیوں کی لسٹ بنا کر مجھے دو,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_46,46
ابھی تک میری ٹیبل پر نہیں ائی ہے وہ کیا کرتے رہتے ہو تم لوگ سارا دن,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_47,47
تو بتا دینا اپنی بیٹی کو اس بار اس کا پاس ہونا بہت ضروری ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_48,48
چل جا نکل جا میرا میٹر نہ گھما چل جا,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_1_49,49
اگر پرواہ نہیں ہے تو پھر جائے جہاں اس کی ماں دفن ہوئی ہے,غصہ,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_1_50,50
دعا کرو کہ وہ کسی مشکل میں ہو تبھی اسے ہوش ائے گا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_2_01,51
میں سمجھتا ہوں کہ بچیوں کو اس طرح وہاں بھیجنا کچھ مناسب نہیں لگتا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_02,52
جھوٹ مت بولو گیتی بتاؤ کس کا فون ہے یہ,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_03,53
اسی مہینے ظفر اور گیتی کا نکاح کر دیتے ہیں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_04,54
میں کسی بھی بڑی مشکل سے بچنا چاہتا ہوں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_05,55
وہ اگر یہاں ہوتی نا تو میرے لہجے میں بھی اتنی تلخی نہ ہوتی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_06,56
اس نے یہاں سے جا کر میری محبت اور تمہارے نصیب میں کانٹے بوئے ہیں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_07,57
منور تم فون نہیں کرو گے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_08,58
بدر اپنے گھر فون لگا اور اپنے باپ کو بلا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_09,59
کچھ تو بھرم رہ جائے گا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_2_10,60
قابل ہو یا نہ ہو مجھے اس سے کوئی فرق نہیں پڑتا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_11,61
میں جلد از جلد ا ذلت کو گھر سے باہر پھینکنا چاہتا ہوں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_12,62
یہ اس سے تو بہتر ہے منور کہ لوگ یہ کہیں کہ اقبال حسین کی بیٹی گھر کے ملازم کے ساتھ بھاگ رہی تھی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,7,1_0_2_13,63
بس منور فیصلہ ہو چکا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_14,64
اب اس گھر کی مزید جنگ اسائی سے یہی بہتر ہے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_15,65
لیکن لوگوں کے تانے تو مجھے ہی سننے پڑتے نہ,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_16,66
اب تو تھکنے لگا ہوں میں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_2_17,67
جمیل صاحب فون کیوں نہیں اٹھا رہے دل نہیں مان رہا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_18,68
لیکن اپ مجھے تو یقین نہیں آ رہا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_19,69
میرا مان میرا بھروسہ چکنا چور کر دیا اس نے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_20,70
نہیں نہیں نفیسا یہ یہ مجھ سے نہیں ہوگا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_21,71
مجھ سے نہیں ہوگا میں میں جہاں ارا اور گیتی کا سامنا نہیں کر سکتا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_2_22,72
شوہر ظالم ہو سکتا ہے اولاد کے معاملے میں لیکن ایک ماں نہیں ہو سکتی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_2_23,73
میں تو اللہ کا شکر ادا کر کرتا ہوں کہ میں نے گیتی کا رشتہ نہیں اس کے ساتھ  کر دیا ورنہ میں تو اپنے اپ کو معافی نہیں کرتا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,6,1_0_2_24,74
لیکن اس کا یہ مطلب تو نہیں کہ اپ گھر چھوڑ کر جانے کی باتیں کریں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_25,75
تمہارے تینوں بندوں کو مرتسم نے اٹھا لیا ہے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_26,76
غلطی ہو گئی ہے اس سے وہ تمہیں مارنا نہیں چاہتا تھا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_27,77
اس نے مجھے اپنے گھر انے دیا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_28,78
نکل اؤ اس خوش فہمی سے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_2_29,79
وہ ہم دونوں سے نالہ ہے وہ ہم دونوں کے ساتھ بیٹھنا ہی نہیں چاہتی کیونکہ ہم دونوں اس کو ٹائم ہی نہیں دیتے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,6,1_0_2_30,80
بھائی اگر وہ خود سے تمہیں کچھ نہیں بتا رہی تو تم ہی اس سے  پوچھ لیتی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_31,81
تمہارے والد نہیں ہیں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_32,82
یہ کیا حماقت تھی شانزے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_33,83
کون ہے یہ لڑکا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_2_34,84
تو شانزے کو سمجھاؤ نا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_2_35,85
مجھے اس سے اس قسم کی بے وقوفی کی ہرگز امیر نہیں تھی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_36,86
تم اس کو گھر کیوں نہیں بلا لیتی بھائی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_37,87
اچھا بابا نہیں پوچھتا میں اور ائندہ اس ٹاپک پہ بات ہی نہیں کروں گا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_2_38,88
اسی چیز کا تو فائدہ اٹھا رہا ہے وہ,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_2_39,89
یہ یہی چیز تو  تمہیں سمجھا رہا ہوں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_40,90
کہ وہ میرے کسی دوست کا بیٹا نہیں ہے اجنبی ہے وہ,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_2_41,91
تم بھی بیٹی کی طرح اپنے اپ کو دھوکہ دے رہی ہو,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_42,92
وہ ایک بات کرنی تھی تم سے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_43,93
بات نہیں کریں گے کیوں  بات نہیں کروں میں بیٹی کے متعلق بات ہے اور میں بات نہ کروں,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_44,94
تمہارا کیا خیال ہے مجھے اس سے بات نہیں کرنی چاہیے تھی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_45,95
کرنی چاہیے تھی میں نے بالکل ٹھیک کیا,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_46,96
میں تو اللہ کا شکر ادا کرتا ہوں کہ میں نے اس سے بات کی اور اس کی حقیقت کھل کر سامنے اگئی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_47,97
ورنہ تم دونوں ماں بیٹیاں تو دھوکے میں رہتی,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_2_48,98
وہ ہر طرح کے مالی فائدہ اٹھا رہا ہے ہماری بیٹی سے ابھی بھی تمہیں کوئی ثبوت چاہیے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_2_49,99
دعا کرو کہ وہ لڑکا ہماری بیٹی کی زندگی سے جلد از جلد نکل جائے,خوف,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_2_50,100
اچھا چلیں اپ کہتی ہیں تو مان لیتا ہوں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_01,101
تنہا انسان تو بالکل خاک کی طرح ہوتا ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_02,102
اس لیے کہ میں نے کبھی پیار سے اس کو بولا ہی نہیں ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_03,103
ہاں مگر روح بن کر زندگی کو ضرور نگل جاتی ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_3_04,104
لاکھ ان کو دل سے نکالنا چاہو نہیں نکلتے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_3_05,105
مگر کچھ رشتے ٹوٹ کر بھی دل میں تعلق بن کر کھڑے رہتے ہیں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,6,1_0_3_06,106
رشتہ تو جہاں ارا سے کب کا ٹوٹ چکا تھا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_07,107
کیا کہوں تم سے کیوں یہ انسو میری انکھ میں اگئے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_08,108
میں نا اچھا باب بن سکا  نہ اچھا شوہر,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_09,109
نیلم کو رخصت کرتے وقت دل بہت اداس تھا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_3_10,110
گیتی کیوں بہت یاد ارہی ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_11,111
نہیں نہیں اس کی ضرورت نہیں ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_12,112
ہماری امید ہمارا بھروسہ لوگوں کو ہماری نظروں سے گرنے نہیں دیتا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,6,1_0_3_13,113
پتہ نہیں عجیب باتیں کرتی ہوں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_14,114
بہت مایوسی ہوئی ہے مجھے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_15,115
اس وقت تم نے ذکر ہی نہیں کیا پہلے بتا دیتی,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_16,116
مجبور تو میں ہوں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_17,117
اچھا ٹھیک ہے میں بدر سے بات کروں گا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_18,118
شرمندہ انسان تنہائی چاہتا ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_19,119
نہیں ٹھیک ہوں میں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_20,120
اہ کیا کہہ سکتا ہوں میں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_21,121
اللہ کرے کہ ایسا ہی ہو,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_22,122
کافی دکھی لگ رہا تھا بیچارا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_23,123
جانتا ہوں تمہیں بھی  تمہارے والد کو بھی,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_24,124
کسی بھی مدد کی ضرورت ہو تو بلا جھجک مجھے کہہ دینا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_25,125
اللہ تعالی ان کی مغفرت کرے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_26,126
گیتی کیسی ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_27,127
نہیں میں کافی دیر سے ایا ہوں میں جا ہی رہا تھا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_28,128
بچہ ہے ابھی سمجھ رہا ہے کام کو,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_29,129
ہاں جا تو رہا ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_30,130
ہاں گیا ہوں تو پتہ چلا ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_31,131
فیکرٹری گیا تھا کچھ گڑبڑ لگ رہی ہے مجھے وہاں پر,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_32,132
اتنا بھی ٹھیک نہیں ہوں بیٹا اور پھر تم ہو نا وہاں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_33,133
وہ پاس ہوئی ہے انعام کے طور پر کچھ بھجوا دو,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_3_34,134
اسے کچھ پیسے بھجوا دو,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_35,135
اس کی اپنی پسند تھی مرضی اس کی,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_36,136
اور اب نا یہ تو کیوں کر کے ساتھ دل بھی ویران ہو گیا ہے میرا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_3_37,137
اس کی موجودگی بھی محسوس نہیں ہوتی تھی,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_38,138
جب وہ تھی اس گھر میں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_39,139
کچھ نہیں ہے بتانے کو کیا بتاؤں,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_40,140
بھوک نہیں ہے مجھے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_41,141
اگے تو صرف اندھیرا ہے اپا,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_42,142
سمجھ نہیں اتا ایسا کیا گناہ کیا ہے میں نے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_3_43,143
کس کی کیا اوقات ہے یہ دولت نہیں وقت طے کرتا ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,7,1_0_3_44,144
بہت ضروری کام ہے بھائی,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,1,1_0_3_45,145
اگر تم سمجھتی ہو کہ انہیں بلانا چاہیے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_3_46,146
بدر وکیل صاحب کو بلاؤ مجھے ان سے کوئی مشورہ کرنا ہے,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,7,1_0_3_47,147
کیا کہنا چاہ رہی ہو بچے کھل کر بتاؤ,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_48,148
نہیں بس ویسے ہی کہہ رہا تھ,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,2,1_0_3_49,149
ٹھیک ٹھیک ہے اپا اگر,بوریت,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,7,1_0_3_50,150
موسی میری انکھ میں انکھ ڈال کر بات کر تاکہ جو میں سوال کروں اس کا جواب تیری انکھ میں پڑھ سکوں,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,17,1_0_4_01,151
جو ادمی باپ کے پیسے جوئے میں اڑاے اس سے کیا امید رکھی جا سکتی ہے چلو راحیلہ صاحبزادے کو ارام کرنے دو,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,10,1_0_4_02,152
کیا کروں ان سب کا باقی کام تو تم سے ہو نہیں رہے,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_4_03,153
باہر دانے کا بندوبست نہیں کیا موٹر خراب پڑی ہے مکینک نہیں ایا,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_4_04,154
یہ جو ہڈ ہرامی ہے نا سخت ناپسند ہے مجھے,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_4_05,155
یہی تو بات ہے کہ بچی نہیں رہی ہے بڑی ہو گئی ہے وہ,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,3,1_0_4_06,156
پھر محبت کرنا ضروری ہے کیا ضرورتیں تو  پوری ہو رہی ہیں اس کی,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_4_07,157
ھو میری بھی کیا زندگی ہے ایک عورت ملی اور وہ بھی دھوکہ دے کے چلی گئی,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,4,1_0_4_08,158
رہنے دو تم پڑھائی  پڑھائی کی اتنی فکر ہوتی نا تو دو مضامین میں  سپلی نہ اتی تمہاری,ناگواری,مرد,محمود اسلم,1,32-Bit Float,41100 Hz,WAV,5,1_0_4_09,159
